word,translation
하다,する
있다,ある / いる
것,こと / もの
되다,なる
수,数 / 方法
나,私
없다,ない / いない
않다,〜しない
사람,人
우리,私たち / うち
그,彼 / それ
이,この / これ
아니다,ではない
때,時
같다,同じだ
안,中 / なか
말,言葉 / 話
일,仕事 / 日
년,年
가다,行く
오다,来る
알다,知る
모르다,知らない
생각하다,考える
많다,多い
좋다,良い
크다,大きい
받다,もらう
집,家
사회,社会
잘,よく / 上手に
문화,文化
시간,時間
원,ウォン (通貨)
주다,あげる
먹다,食べる
마시다,飲む
보다,見る
듣다,聞く
자다,寝る
일어나다,起きる
공부하다,勉強する
일하다,働く
사다,買う
팔다,売る
만들다,作る
쓰다,書く / 使う (苦い)
읽다,読む
좋아하다,好きだ
싫어하다,嫌いだ
배우다,学ぶ
가르치다,教える
쉬다,休む
기다리다,待つ
만나다,会う
웃다,笑う
울다,泣く
찾다,探す / 見つける
열다,開ける
닫다,閉める
입다,着る
벗다,脱ぐ
앉다,座る
서다,立つ
걷다,歩く
뛰다,走る
전화하다,電話する
가지다,持つ
시작하다,始まる
끝나다,終わる
도와주다,手伝う
물어보다,尋ねる
필요하다,必要だ
작다,小さい
적다,少ない
길다,長い
짧다,短い
높다,高い
낮다,低い
빠르다,速い
느리다,遅い
쉽다,易しい
어렵다,難しい
깨끗하다,きれいだ
더럽다,汚い
비싸다,高い (値段)
싸다,安い
덥다,暑い (気温)
춥다,寒い (気温)
맛있다,おいしい
재미있다,面白い
예쁘다,きれいだ / 可愛い
건강하다,元気だ
학교,学校
돈,お金
오늘,今日
내일,明日
어제,昨日
지금,今
친구,友達
가족,家族
학생,学生
선생님,先生
음식,食べ物
물,水
밥,ご飯
나오다,出てくる
살다,生きる / 住む
통하다,通じる
싶다,〜したい
지나다,過ぎる
이야기하다,話す
사랑하다,愛する
결혼하다,結婚する
걱정하다,心配する
준비하다,準備する
사용하다,使う
따뜻하다,暖かい
피곤하다,疲れている
배가 고프다,お腹が空いている
목이 마르다,喉が渇いている
아프다,痛い / 病気だ
슬프다,悲しい
행복하다,幸せだ
짜다,塩辛い
맵다,辛い
달다,甘い
바쁘다,忙しい
조용하다,静かだ
시끄럽다,うるさい
깨지다,割れる / 壊れる
주인,主人 / オーナー
이름,名前
날,日
달,月
방,部屋
길,道
몸,体
손,手
발,足
머리,頭 / 髪
눈,目 / 雪
코,鼻
입,口
귀,耳
가슴,胸
배,お腹
기분,気分
생일,誕生日
날씨,天気
문제,問題
차,車 / お茶
버스,バス
택시,タクシー
역,駅
공항,空港
병원,病院
은행,銀行
시장,市場
가게,店
지갑,財布
선물,プレゼント
책상,机
의자,椅子
신문,新聞
텔레비전,テレビ
라디오,ラジオ
컴퓨터,コンピューター
휴대폰,携帯電話
사진,写真
노래,歌
춤,ダンス
운동,運動
여행,旅行
계획,計画
결정,決定
미래,未来
과거,過去
오늘밤,今晩
매일,毎日
잠깐,少しの間
다시,再び
항상,いつも
가끔,時々
같이,一緒に
혼자,一人で
여기,ここ
저기,あそこ
어디,どこ
왜,なぜ
어떻게,どのように
몇,いくつ / 何
어떤,どんな
말하다,話す
시키다,注文する / やらせる
넘다,越える
모양,形 / 様子
쓰이다,使われる / 書かれる
데,所 / 場合
의하다,よる
가지,種類
새롭다,新しい
옛날,昔
처음,初めて
마지막,最後
곧,すぐに
계속,ずっと / 継続
아마,たぶん
여성,女性
남성,男性
아이,子供
어른,大人
부모,両親
형제,兄弟
자매,姉妹
고향,故郷
도시,都市
마을,村
땅,土地 / 地面
세계,世界
나라,国
정부,政府
정치,政治
경제,経済
역사,歴史
교육,教育
직업,職業
회사,会社
부장,部長
과장,課長
사원,社員
손님,お客さん
점원,店員
음료수,飲み物
커피,コーヒー
맥주,ビール
술,酒
담배,タバコ
옷,服
신발,靴
양말,靴下
모자,帽子
가방,カバン
색깔,色
빨갛다,赤い
파랗다,青い
노랗다,黄色い
하얗다,白い
까맣다,黒い
무슨,何の / どんな
어느,どの
왜냐하면,なぜなら
그러니까,だから / それで
하지만,しかし
그리고,そして
또는,または
다,全部
모두,皆
아주,とても
별로,あまり / 特に
오히려,むしろ
따로,別々に
매우,非常に
정말,本当に
확실히,確実に
자주,よく / しばしば
보통,普通
결국,結局
드디어,ついに
바로,すぐに
조금,少し
많이,たくさん
가운데,真ん中
옆,横
뒤,後ろ
앞,前
위,上
